Collection Name,Title#1,Other Title#1,Other Title#2,Other Title#3,Other Title#4,Name Part#1,Name Display Form#1,Name Role Term Text#1,Name Type#1,Name Authority#1,Name Part#2,Name Display Form#2,Name Type#2,Name Authority#2,Type of Resource#1,Type of Resource Authority#1,Genre#1,Genre Authority#1,Place Term#1,Place Term Authority#1,Publisher#1,Date Issued#1,Publisher#2,Language Term#1,Language Term Code#1,Language Term Code Authority#1,Language Term Type#1,Language Term#2,Language Term Type#2,Form#1,Form Authority#1,Internet Media Type#1,Internet Media Type Authority#1,Extent#1,Digital Origin#1,Form#2,Form Authority#2,Note#1,Note#2,Note#3,Note#4,Note#5,Note#6,Subject Topic#1,Subject Authority#1,Subject Geographic#1,Subject Geographic Authority#1,Subject Topic#2,Subject Authority#2,Subject Geographic#2,Subject Geographic Authority#2,Subject Topic#3,Subject Authority#3,Subject Geographic#3,Subject Geographic Authority#3,Subject Topic#4,Subject Authority#4,Subject Geographic#4,Subject Geographic Authority#4,Subject Topic#5,Subject Authority#5,Subject Topic#6,Subject Authority#6,Related Item#1,Related Item Type#1,Related Item Identifier#1,Related Item Identifier URI#1,Related Item#2,Related Item Type#2,Related Item Identifier#2,Related Item Identifier URI#2,Related Item#3,Related Item Type#3,Related Item Identifier#3,Related Item#4,Related Item Type#4,Related Item Identifier#4,Related Item#5,Related Item Type#5,Related Item Identifier#5,Identifier#1,Identifier URI#1,Bibliographic Number#1,Identifier ARK#1,Bibliographic Number#2,Physical Location#1,Shelf Locator#1,Rights#1,Rights Authority#1,ln_RECORDID
Colorado Directories,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",,,,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,"Gazetteer Publishing Co. (Denver, Colo.)",1923,,,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,"""Live stock department wool growers department classified department.""",,,,,,Directories,http://id.worldcat.org/fast/894589,Arizona,http://id.loc.gov/authorities/names/n79034873,Cities and towns,http://id.worldcat.org/fast/861748,El Paso (Tex.),http://id.loc.gov/authorities/names/n79121678,Arizona -- Commerce -- Directories,local,Los Angeles (Calif.),http://id.loc.gov/authorities/names/n79021240,Industries -- Arizona -- Directories,local,,,El Paso (Tex.) -- Directories,local,Los Angeles (Calif.) -- Directories,local,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",constituent,narv_dir_arizona_1923_part2.pdf,,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",constituent,narv_dir_arizona_1923_part3.pdf,,,,,,,,,,,narv_dir_arizona_1923_part1.pdf,Catalog link: http://libraries.colorado.edu/record=b1605222~S3,b1605222,https://ark.colorado.edu/ark:/47540/728r6z44f7cm,Control number: 10981744,University of Colorado Boulder Libraries Rare and Distinctive Collections,F809.7 .A74 1923,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,147
Colorado Directories,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",,,,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,"Gazetteer Publishing Co. (Denver, Colo.)",1923,,,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,"""Live stock department wool growers department classified department.""",,,,,,Directories,http://id.worldcat.org/fast/894589,Arizona,http://id.loc.gov/authorities/names/n79034873,Cities and towns,http://id.worldcat.org/fast/861748,El Paso (Tex.),http://id.loc.gov/authorities/names/n79121678,Arizona -- Commerce -- Directories,local,Los Angeles (Calif.),http://id.loc.gov/authorities/names/n79021240,Industries -- Arizona -- Directories,local,,,El Paso (Tex.) -- Directories,local,Los Angeles (Calif.) -- Directories,local,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",constituent,narv_dir_arizona_1923_part1.pdf,,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",constituent,narv_dir_arizona_1923_part3.pdf,,,,,,,,,,,narv_dir_arizona_1923_part2.pdf,Catalog link: http://libraries.colorado.edu/record=b1605222~S3,b1605222,https://ark.colorado.edu/ark:/47540/zk46650438tr,Control number: 10981744,University of Colorado Boulder Libraries Rare and Distinctive Collections,F809.7 .A74 1923,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,148
Colorado Directories,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",,,,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,"Gazetteer Publishing Co. (Denver, Colo.)",1923,,,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,"""Live stock department wool growers department classified department.""",,,,,,Directories,http://id.worldcat.org/fast/894589,Arizona,http://id.loc.gov/authorities/names/n79034873,Cities and towns,http://id.worldcat.org/fast/861748,El Paso (Tex.),http://id.loc.gov/authorities/names/n79121678,Arizona -- Commerce -- Directories,local,Los Angeles (Calif.),http://id.loc.gov/authorities/names/n79021240,Industries -- Arizona -- Directories,local,,,El Paso (Tex.) -- Directories,local,Los Angeles (Calif.) -- Directories,local,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",constituent,narv_dir_arizona_1923_part1.pdf,,"Arizona state business directory : including El Paso, Texas, with Los Angeles and foreign classifications",constituent,narv_dir_arizona_1923_part2.pdf,,,,,,,,,,,narv_dir_arizona_1923_part3.pdf,Catalog link: http://libraries.colorado.edu/record=b1605222~S3,b1605222,https://ark.colorado.edu/ark:/47540/wg1t6k29q9kr,Control number: 10981744,University of Colorado Boulder Libraries Rare and Distinctive Collections,F809.7 .A74 1923,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,149
Colorado Directories,Colorado state business directory,Colorado state business directory and annual register,"Colorado state business directory, with Colorado mining directory",,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,J.A. Blake,1875,"Gazetteer Publishing Co. (Denver, Colo.)",,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,Volumes for 1896- published by Gazatteer [sic] Publishing Co,"""With Colorado mining directory and Colorado live stock directory departments"" (varies)",[Began in 1878],,,,Directories,http://id.worldcat.org/fast/894589,Colorado,http://id.loc.gov/authorities/names/n80125532,Cities and towns,http://id.worldcat.org/fast/861748,,,Colorado -- Commerce -- Directories,local,,,Industries -- Colorado -- Directories,local,,,,,,,,,,,,,,,,,,,,,,,,narv_dir_coloradoBus_1875.pdf,Catalog link: http://libraries.colorado.edu/record=b1629900~S3,b1629900,https://ark.colorado.edu/ark:/47540/1m8p4b919117,Control number: 11819119,University of Colorado Boulder Libraries Rare and Distinctive Collections,F774.7 .C718 1st 1875,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,150
Colorado Directories,Colorado state business directory,Colorado state business directory and annual register,"Colorado state business directory, with Colorado mining directory",,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,J.A. Blake,1885,"Gazetteer Publishing Co. (Denver, Colo.)",,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,Volumes for 1896- published by Gazatteer [sic] Publishing Co,"""With Colorado mining directory and Colorado live stock directory departments"" (varies)",Began in 1878,,,,Directories,http://id.worldcat.org/fast/894589,Colorado,http://id.loc.gov/authorities/names/n80125532,Cities and towns,http://id.worldcat.org/fast/861748,,,Colorado -- Commerce -- Directories,local,,,Industries -- Colorado -- Directories,local,,,,,,,,,,,,,,,,,,,,,,,,narv_dir_coloradoBus_1885.pdf,Catalog link: http://libraries.colorado.edu/record=b1629900~S3,b1629900,https://ark.colorado.edu/ark:/47540/pp079s83v551,Control number: 11819119,University of Colorado Boulder Libraries Rare and Distinctive Collections,F774.7 .C718 11th 1885,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,161
Colorado Directories,Ballenger & Richards' ... annual Denver city directory,Ballenger and Richards' ... annual Denver city directory,Denver city directory,Ballenger & Richards' Denver directory,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,Ballenger & Richards,1891,,,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,Title varies slightly,Continues: Corbett & Ballenger's ... annual Denver city directory,Continued by: Ballenger & Richards Denver directory,Began with v. 17 in 1889; ceased with v. 43 in 1915,,,Directories,http://id.worldcat.org/fast/894589,Colorado,http://id.loc.gov/authorities/names/n80125532,Cities and towns,http://id.worldcat.org/fast/861748,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,Denver (Colo.) -- Directories,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,narv_dir_coloradoBus_1891.pdf,Catalog link: http://libraries.colorado.edu/record=b4138291~S3,b4138291,https://ark.colorado.edu/ark:/47540/4j1z1931k9rm,Control number: 10981685,University of Colorado Boulder Libraries Rare and Distinctive Collections,F784.D4 A18 v.19 1891,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,206
Colorado Directories,Colorado state business directory,Colorado state business directory and annual register,"Colorado state business directory, with Colorado mining directory",,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,J.A. Blake,1891,"Gazetteer Publishing Co. (Denver, Colo.)",,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,Volumes for 1896- published by Gazatteer [sic] Publishing Co,"""With Colorado mining directory and Colorado live stock directory departments"" (varies)",Began in 1878,,,,Directories,http://id.worldcat.org/fast/894589,Colorado,http://id.loc.gov/authorities/names/n80125532,Cities and towns,http://id.worldcat.org/fast/861748,,,Colorado -- Commerce -- Directories,local,,,Industries -- Colorado -- Directories,local,,,,,,,Colorado state business directory,constituent,narv_dir_coloradoBus_1891_Part2.pdf,,Colorado state business directory,constituent,narv_dir_coloradoBus_1891_Part3.pdf,,,,,,,,,,,narv_dir_coloradoBus_1891_Part1.pdf,Catalog link: http://libraries.colorado.edu/record=b1629900~S3,b1629900,https://ark.colorado.edu/ark:/47540/s9460j2501wr,Control number: 11819119,University of Colorado Boulder Libraries Rare and Distinctive Collections,F774.7 .C718 17th 1891,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,164
Colorado Directories,Colorado state business directory,Colorado state business directory and annual register,"Colorado state business directory, with Colorado mining directory",,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,J.A. Blake,1891,"Gazetteer Publishing Co. (Denver, Colo.)",,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,Volumes for 1896- published by Gazatteer [sic] Publishing Co,"""With Colorado mining directory and Colorado live stock directory departments"" (varies)",Began in 1878,,,,Directories,http://id.worldcat.org/fast/894589,Colorado,http://id.loc.gov/authorities/names/n80125532,Cities and towns,http://id.worldcat.org/fast/861748,,,Colorado -- Commerce -- Directories,local,,,Industries -- Colorado -- Directories,local,,,,,,,Colorado state business directory,constituent,narv_dir_coloradoBus_1891_Part1.pdf,,Colorado state business directory,constituent,narv_dir_coloradoBus_1891_Part3.pdf,,,,,,,,,,,narv_dir_coloradoBus_1891_Part2.pdf,Catalog link: http://libraries.colorado.edu/record=b1629900~S3,b1629900,https://ark.colorado.edu/ark:/47540/hz0b9v26z80x,Control number: 11819119,University of Colorado Boulder Libraries Rare and Distinctive Collections,F774.7 .C718 17th 1891,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,165
Colorado Directories,Colorado state business directory,Colorado state business directory and annual register,"Colorado state business directory, with Colorado mining directory",,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,J.A. Blake,1891,"Gazetteer Publishing Co. (Denver, Colo.)",,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,Volumes for 1896- published by Gazatteer [sic] Publishing Co,"""With Colorado mining directory and Colorado live stock directory departments"" (varies)",Began in 1878,,,,Directories,http://id.worldcat.org/fast/894589,Colorado,http://id.loc.gov/authorities/names/n80125532,Cities and towns,http://id.worldcat.org/fast/861748,,,Colorado -- Commerce -- Directories,local,,,Industries -- Colorado -- Directories,local,,,,,,,Colorado state business directory,constituent,narv_dir_coloradoBus_1891_Part1.pdf,,Colorado state business directory,constituent,narv_dir_coloradoBus_1891_Part2.pdf,,,,,,,,,,,narv_dir_coloradoBus_1891_Part3.pdf,Catalog link: http://libraries.colorado.edu/record=b1629900~S3,b1629900,https://ark.colorado.edu/ark:/47540/k7264f11c30k,Control number: 11819119,University of Colorado Boulder Libraries Rare and Distinctive Collections,F774.7 .C718 17th 1891,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,166
Colorado Directories,Colorado state business directory,Colorado state business directory and annual register,"Colorado state business directory, with Colorado mining directory",,,,,,,,,,,,Text,http://id.loc.gov/vocabulary/resourceTypes/txt,Reference works,http://id.loc.gov/authorities/genreForms/gf2014026165,Denver (Colo.),http://id.loc.gov/authorities/names/n79055157,J.A. Blake,1920,"Gazetteer Publishing Co. (Denver, Colo.)",,eng,http://id.loc.gov/vocabulary/iso639-2/eng,,English,text,city directories,http://vocab.getty.edu/page/aat/300026241,application/pdf,https://www.iana.org/assignments/media-types/application/pdf,1 volume,reformatted digital,,,Volumes for 1896- published by Gazatteer [sic] Publishing Co,"""With Colorado mining directory and Colorado live stock directory departments"" (varies)",Began in 1878,,,,Directories,http://id.worldcat.org/fast/894589,Colorado,http://id.loc.gov/authorities/names/n80125532,Cities and towns,http://id.worldcat.org/fast/861748,,,Colorado -- Commerce -- Directories,local,,,Industries -- Colorado -- Directories,local,,,,,,,,,,,,,,,,,,,,,,,,narv_dir_coloradoBus_1920.pdf,Catalog link: http://libraries.colorado.edu/record=b1629900~S3,b1629900,https://ark.colorado.edu/ark:/47540/fq0f645584pr,Control number: 11819119,University of Colorado Boulder Libraries Rare and Distinctive Collections,F774.7 .C718 46th 1920,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,182
