Collection Name,Title#1,Other Title#2,Other Title#3,Other Title#4,Name Part#1,Name Display Form#1,Name Type#1,Name Part#2,Name Display Form#2,Name Type#2,Type of Resource#1,Place Term#1,Publisher#1,Date Issued#1,Language Term#1,Language Term Code#1,Language Term Type#1,Internet Media Type#1,Extent#1,Digital Origin#1,Form#2,Form Authority#2,Form#3,Form Authority#3,Note#1,Subject Topic#1,Subject Geographic#1,Subject Geographic#2,Subject Geographic#3,Subject Geographic#4,Identifier#1,Identifier URI#1,Bibliographic Number#1,Physical Location#1,Shelf Locator#1,Rights#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
Colorado Directories,"Arizona state business directory: including El Paso, Texas, with Los Angeles and foreign classifications",,,,,,,,,,text,Denver (Colo.),The Gazetteer Pub. Co.,1923,English,eng,text,application/pdf,1 volume,reformatted digital,commercial directories,AAT,,,"On title page: Including live stock department, wool growers' department, classified department.",Industries--Arizona--Directories,,Arizona--Commerce--Directories,El Paso (Tex.)--Directories,Los Angeles (Calif.)--Directories,narv_dir_arizona_1923_ new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1605222~S3,b16052225,"Special Collections, Archives & Preservation, University of Colorado Boulder",F809.7 .A74,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.",99,4567,narv_dir_arizona_1923_new_ocr.jpg
Colorado Directories,Ballenger & Richards' annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1889,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1889_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",125,4567,narv_dir_LeadvilleBus_1889_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1890,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_leadvilleBus_1890_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",126,4567,narv_dir_leadvilleBus_1890_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1891,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1891_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",127,4567,narv_dir_LeadvilleBus_1891_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1892,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1892_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",128,4567,narv_dir_LeadvilleBus_1892_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1894,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1894_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",129,4567,narv_dir_LeadvilleBus_1894_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1895,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,On title page: First annual Lake County and Leadville city directory … for 1895.,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1895_1st_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",130,4567,narv_dir_LeadvilleBus_1895_1st_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,Leadville city directory,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1897,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1897_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",131,4567,narv_dir_LeadvilleBus_1897_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1898,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1898_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",72,4567,narv_dir_LeadvilleBus_1898_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1899,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1899_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",73,4567,narv_dir_LeadvilleBus_1899_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1900,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1900_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",74,4567,narv_dir_LeadvilleBus_1900_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1902,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1902_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",76,4567,narv_dir_LeadvilleBus_1902_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1902,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1901_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",75,4567,narv_dir_LeadvilleBus_1901_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1903,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1903_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",77,4567,narv_dir_LeadvilleBus_1903_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1904,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1904_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",78,4567,narv_dir_LeadvilleBus_1904_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1906,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1906_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",79,4567,narv_dir_LeadvilleBus_1906_new_ocr.pdf
Colorado Directories,Ballenger & Richards' annual Leadville city directory,,,,,,,,,,text,Leadville (Colo.),Ballenger and Richards,1907,English,eng,text,application/pdf,1 volume,reformatted digital,city directories ,AAT,,,,,Leadville (Colo.)--Directories,,,,narv_dir_LeadvilleBus_1907_new_ocr.pdf,Catalog record: http://libraries.colorado.edu/record=b1481405~S3,b14814055,"Special Collections, Archives & Preservation, University of Colorado Boulder",F784.L4 A18,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://w",80,4567,narv_dir_LeadvilleBus_1907_new_ocr.pdf
