"Collection Name","Title#1","Other Title#2","Other Title#3","Other Title#4","Name Part#1","Name Display Form#1","Name Role Term Text#1","Name Type#1","Name Authority#1","Name Part#2","Name Display Form#2","Name Type#2","Name Authority#2","Type of Resource#1","Type of Resource Authority#1","Genre#1","Genre Authority#1","Place Term#1","Place Term Authority#1","Publisher#1","Date Issued#1","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Language Term Type#1","Form#1","Form Authority#1","Internet Media Type#1","Internet Media Type Authority#1","Extent#1","Digital Origin#1","Form#2","Form Authority#2","Note#1","Subject Topic#1","Subject Authority#1","Subject Geographic#1","Subject Geographic Authority#1","Subject Topic#2","Subject Authority#2","Subject Geographic#2","Subject Geographic Authority#2","Subject Geographic#3","Subject Geographic Authority#3","Subject Geographic#4","Subject Geographic Authority#4","Related Item#1","Related Item Type#1","Related Item Identifier#1","Related Item Identifier URI#1","Related Item#2","Related Item Type#2","Related Item Identifier#2","Related Item Identifier URI#2","Identifier#1","Bibliographic Number#1","Identifier ARK#1","Physical Location#1","Shelf Locator#1","Rights#1","Rights Authority#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Colorado Directories","Arizona state business directory: including El Paso, Texas, with Los Angeles and foreign classifications","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Denver (Colo.)","http://id.loc.gov/authorities/names/n79055157","The Gazetteer Pub. Co.","1923","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","commercial directories","http://vocab.getty.edu/page/aat/300026260","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","On title page: Including live stock department, wool growers' department, classified department.","Business--Directories","http://id.worldcat.org/fast/842318","Arizona (United States, North America) (first order administrative division)","http://id.loc.gov/authorities/names/n79034873","Industries","http://id.worldcat.org/fast/971852","El Paso (El Pas, Texas, United States, North America) (populated place)","GNIS: 1380946","Los Angeles (Los Angeles, California, United States, North America) (populated place)","GNIS: 1662328","","","","","","","","","","","narv_dir_arizona_1923_ new_ocr.pdf","b16052225","https://ark.colorado.edu/ark:/47540/597m7064n7j3","University of Colorado Boulder Libraries Rare and Distinctive Collections","F809.7 .A74","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","99","4567","narv_dir_arizona_1923_new_ocr.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~99~157596"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","Leadville city directory","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1889","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1889_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/37254429t7r8","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","125","4567","narv_dir_LeadvilleBus_1889_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~125~157544"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","Leadville city directory","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1890","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_leadvilleBus_1890_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/tz2b8v96r202","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","126","4567","narv_dir_leadvilleBus_1890_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~126~157542"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","Leadville city directory","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1891","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1891_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/q4367b27v7bk","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","127","4567","narv_dir_LeadvilleBus_1891_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~127~157540"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","Leadville city directory","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1892","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1892_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/1t1n8j91t098","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","128","4567","narv_dir_LeadvilleBus_1892_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~128~157538"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","Leadville city directory","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1894","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1894_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/w37j2h47h1n2","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","129","4567","narv_dir_LeadvilleBus_1894_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~129~157536"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","Leadville city directory","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1895","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","On title page: First annual Lake County and Leadville city directory â€¦ for 1895.","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1895_1st_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/xt2g108456d3","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","130","4567","narv_dir_LeadvilleBus_1895_1st_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~130~157534"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","Leadville city directory","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1897","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1897_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/37461918t3jh","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","131","4567","narv_dir_LeadvilleBus_1897_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~131~157530"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1898","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1898_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/tg9s3766522j","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","72","4567","narv_dir_LeadvilleBus_1898_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~72~157528"
"Colorado Directories","Ballenger & Richards' annual Leadville city directory","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Reference works","http://id.loc.gov/authorities/genreForms/gf2014026165","Leadville (Colo.)","http://id.loc.gov/authorities/names/n79121702","Ballenger and Richards","1899","English","eng","http://id.loc.gov/vocabulary/iso639-2/eng","text","city directories","http://vocab.getty.edu/page/aat/300026241","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","1 volume","reformatted digital","","","","Directories","http://id.worldcat.org/fast/894589","Leadville (Lake, Colorado, United States, North America) (populated place)","GNIS: 204683","Cities and towns","http://id.worldcat.org/fast/861748","","","","","","","","","","","","","","","narv_dir_LeadvilleBus_1899_new_ocr.pdf","b14814055","https://ark.colorado.edu/ark:/47540/mh1g5z72w7gd","University of Colorado Boulder Libraries Rare and Distinctive Collections","F784.L4 A18","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","73","4567","narv_dir_LeadvilleBus_1899_new_ocr.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~3~3~73~157526"
